,max_get_detail_per_min
1,1
100,3
1000,3
100001,1
1000017,1
1000021,2
1000034,1
1000044,1
1000064,1
1000065,1
1000073,1
1000075,1
1000084,2
1000096,1
1000099,1
100011,3
1000113,1
1000117,1
1000147,2
1000154,4
1000163,1
1000166,1
1000179,1
1000191,6
1000193,2
10002,1
1000202,2
1000225,1
1000229,3
1000248,2
1000261,4
1000265,1
1000275,1
1000288,1
1000310,3
1000321,2
1000326,1
1000332,3
1000336,3
1000339,1
1000342,1
1000349,4
1000351,4
1000359,3
1000366,2
1000374,4
1000393,1
1000395,1
1000396,2
1000398,3
100041,1
1000417,1
1000419,1
1000425,3
1000432,1
1000441,4
1000442,1
1000445,3
1000447,1
1000448,1
1000451,1
1000458,1
1000459,2
1000466,3
1000485,1
1000497,3
1000499,1
1000506,1
1000507,4
1000521,2
1000524,1
1000540,1
1000551,3
1000553,4
1000580,3
1000588,3
1000591,1
1000594,3
10006,3
1000600,1
1000609,1
1000635,3
1000636,1
1000643,1
100066,1
1000664,4
1000675,1
1000695,2
1000703,1
1000715,1
1000728,1
1000731,1
1000732,1
1000746,6
100075,3
1000756,1
1000784,1
1000792,1
1000802,2
100081,2
1000820,4
1000823,1
1000831,2
1000836,6
1000861,2
1000866,4
1000872,2
1000879,3
1000899,2
1000901,3
1000915,1
1000917,3
1000925,2
1000927,1
100093,8
1000931,2
1000934,5
1000947,2
1001021,5
1001023,1
1001024,1
1001033,3
1001047,1
1001052,1
1001054,1
1001069,1
1001094,3
1001108,1
1001117,4
1001118,1
1001136,4
1001149,2
1001153,2
1001157,2
1001172,1
1001180,1
1001187,1
1001194,1
1001198,1
1001199,1
1001206,1
1001208,3
1001219,1
100122,3
1001230,1
1001235,1
1001236,2
1001243,2
1001259,1
1001280,2
1001286,2
1001296,3
1001316,1
100134,3
1001353,3
1001377,2
1001378,2
1001383,3
1001385,1
1001389,1
100139,3
1001395,2
1001409,1
1001410,4
1001418,2
1001421,1
1001422,1
1001424,1
1001448,1
1001460,3
100147,3
1001508,3
1001516,2
1001526,4
1001541,1
1001544,1
100156,5
1001560,3
1001563,3
1001577,1
1001599,2
100160,3
1001608,1
1001609,1
1001618,2
1001620,1
1001625,3
1001628,5
1001641,1
1001650,2
1001655,4
1001656,2
1001663,2
1001668,3
1001670,2
1001687,2
1001702,3
1001708,1
1001729,2
1001734,1
1001735,1
100174,1
1001745,3
1001746,1
1001749,1
1001755,2
1001767,4
1001770,1
100178,4
1001783,1
1001795,1
1001807,1
1001822,1
1001823,1
1001828,1
1001831,4
1001832,1
1001833,6
1001847,1
1001854,2
1001860,3
1001871,2
1001875,1
1001877,1
1001884,1
10019,1
1001904,3
1001909,4
100191,2
1001920,4
1001921,1
1001929,2
1001937,1
1001946,3
1001948,4
1001954,1
1001959,2
1001974,1
1001995,3
1002004,1
1002023,4
1002038,1
1002043,1
1002057,1
1002062,1
1002066,1
1002067,3
1002073,1
100208,1
1002093,1
1002097,2
1002113,2
1002117,2
100213,2
1002130,1
1002132,7
1002149,5
1002152,1
1002156,3
1002166,3
1002176,1
1002180,3
1002185,2
1002186,3
1002196,1
1002200,3
1002215,2
1002225,4
1002226,1
1002243,3
1002246,1
1002247,1
1002257,2
1002261,1
100227,1
1002271,11
1002283,4
1002296,3
1002304,2
1002306,1
1002310,3
1002311,3
1002321,3
1002326,2
100233,1
1002330,1
1002331,3
1002332,1
1002341,1
1002344,4
1002349,3
1002354,2
1002368,1
1002386,1
1002387,1
1002388,3
100239,1
1002390,1
1002392,1
1002410,6
1002416,2
100242,2
1002421,3
1002427,3
1002443,2
1002447,2
1002458,3
1002468,1
1002478,3
1002485,1
1002489,1
1002497,1
1002507,1
1002517,1
1002522,3
1002537,4
1002542,3
1002549,1
100255,1
1002557,3
1002560,1
1002566,1
1002569,3
1002585,2
1002586,5
100259,1
1002590,1
10026,3
1002635,3
1002640,2
1002653,1
1002655,1
1002658,1
1002664,2
1002674,1
100268,1
1002696,1
100272,1
1002720,2
1002726,1
1002727,1
1002730,1
1002733,1
1002740,1
1002742,4
1002758,1
1002763,2
1002764,1
1002765,4
100277,1
1002801,2
1002806,2
100281,2
1002821,1
1002822,3
1002835,1
1002848,2
1002861,3
1002871,3
1002873,3
